,Allele,Encoding,Train_size,MCC,MCC_std,AUC,AUC_std
0,A0301,BLOSUM50,268,0.4251864412211007,0.05436528613525895,0.863238301254637,0.019793918843852353
1,A0301,BLOSUM50,670,0.6413385705619606,0.04512461167066219,0.936785617724984,0.012448843949020362
2,A0301,BLOSUM50,1340,0.7489226306782683,0.0384518635911308,0.9679145271828453,0.008124455985363216
3,A0301,ONE_HOT,268,0.4648053889957897,0.051437496266878956,0.876473521796936,0.019189596827943207
4,A0301,ONE_HOT,670,0.681110654179825,0.04242672725180859,0.9462962412940898,0.01154399377057668
5,A0301,ONE_HOT,1340,0.8089294977382073,0.03378055576564755,0.9799231613315521,0.006699950993438065
6,A0201,BLOSUM50,395,0.7212113288084082,0.029585673485957496,0.9341536322368253,0.009816256310755339
7,A0201,BLOSUM50,988,0.7729007065007742,0.026576506126667256,0.9589618914797724,0.00700702994926924
8,A0201,BLOSUM50,1976,0.8279565395700703,0.022804290525954535,0.9749207708501622,0.005149724289670515
9,A0201,ONE_HOT,395,0.6765823584232826,0.029886577772221843,0.9313502563537429,0.009401511230199432
10,A0201,ONE_HOT,988,0.8013404348621026,0.02418979525469348,0.9667875693901108,0.0062606640656255085
11,A0201,ONE_HOT,1976,0.8319657983277137,0.02284363505850835,0.9768590635497223,0.0049139286035131445
